date,close,pos,returns,strategy_returns,equity_curve
2024-10-11,0.6850000023841858,-1,-0.008683042676581598,0.008683042676581598,19747.768986459814
2024-10-14,0.6970000267028809,-1,0.017518283615953534,-0.017518283615953534,19401.821968572676
2024-10-15,0.7149999737739563,-1,0.025824887204414004,-0.025824887204414004,18900.772104674164
2024-10-16,0.7070000171661377,-1,-0.01118875091084659,0.01118875091084659,19112.24813577604
2024-10-17,0.7120000123977661,-1,0.007072128868779837,-0.007072128868779837,18977.083853987737
2024-10-18,0.7250000238418579,-1,0.01825844272152799,-0.01825844272152799,18630.591855418068
2024-10-21,0.7200000286102295,-1,-0.00689654492027858,0.00689654492027858,18759.07856904033
2024-10-22,0.6679999828338623,-1,-0.07222228293065436,0.07222228293065436,20113.90204897194
2024-10-23,0.628000020980835,-1,-0.059880183953501254,0.059880183953501254,21318.326203687084
2024-10-24,0.6200000047683716,-1,-0.012738878893616357,0.012738878893616357,21589.89777941046
2024-10-25,0.6299999952316284,-1,0.016129016752173708,-0.016129016752173708,21241.67395644863
2024-10-28,0.75,0,0.1904761994867188,-0.1904761994867188,17195.64063048828
2024-10-29,0.7400000095367432,0,-0.013333320617675781,-0.0,17195.64063048828
2024-10-30,0.7070000171661377,0,-0.04459458370988967,-0.0,17195.64063048828
2024-10-31,0.6610000133514404,0,-0.06506365303791461,-0.0,17195.64063048828
2024-11-01,0.6230000257492065,0,-0.05748863363793921,-0.0,17195.64063048828
2024-11-04,0.6460000276565552,0,0.03691813957742518,0.0,17195.64063048828
2024-11-05,0.6079999804496765,0,-0.05882359996907205,-0.0,17195.64063048828
2024-11-06,0.5720000267028809,0,-0.05921045214536047,-0.0,17195.64063048828
2024-11-07,0.6209999918937683,0,0.08566427081014805,0.0,17195.64063048828
2024-11-08,0.6179999709129333,0,-0.004830951723020616,-0.0,17195.64063048828
2024-11-11,0.6430000066757202,0,0.040453134206229535,0.0,17195.64063048828
2024-11-12,0.6100000143051147,0,-0.05132191606220016,-0.0,17195.64063048828
2024-11-13,0.6060000061988831,0,-0.0065573901843073434,-0.0,17195.64063048828
2024-11-14,0.5849999785423279,0,-0.03465351062993749,-0.0,17195.64063048828
2024-11-15,0.5649999976158142,0,-0.03418800283779255,-0.0,17195.64063048828
